Date,Price,Open,High,Low,Vol.,Change %
02-01-2017,542.25,527.5,544.5,522.9,4.79M,3.57%
03-01-2017,449.45,455.9,455.9,448,8.37M,-1.60%
06-01-2017,476.65,476.95,479.7,473.55,3.00M,0.11%
08-01-2017,446.9,446.55,452.35,445.7,4.01M,0.52%
09-01-2017,390.85,379.35,392.85,378.65,7.38M,3.80%
11-01-2017,437.75,430.95,439.95,428.45,7.31M,2.18%
12-01-2017,398.9,407.9,410.25,396.5,7.96M,-1.30%
13-01-2017,514.85,523.25,523.25,507.5,6.37M,-0.66%
16-01-2017,526.4,518.65,529.45,517,6.08M,2.24%
17-01-2017,523.7,528.1,530.8,521,4.30M,-0.51%
18-01-2017,522.45,523.05,529.6,521.2,5.87M,-0.24%
19-01-2017,531.45,523,535.6,522.7,5.81M,1.72%
20-01-2017,523.2,527.4,529.3,521.25,5.01M,-1.55%
23-01-2017,532.7,523.2,534.95,523,4.21M,1.82%
24-01-2017,541.55,533,543,532.35,5.18M,1.66%
25-01-2017,548.9,543.25,551.9,541.55,4.50M,1.36%
27-01-2017,541.95,549,552,539.75,4.49M,-1.27%
30-01-2017,532.3,542,543.5,530.8,4.16M,-1.78%
31-01-2017,523.55,530.2,531.5,518,6.04M,-1.64%
01-02-2017,487.05,472,488.7,469.05,4.02M,3.19%
02-02-2017,531.5,537.6,537.6,526.8,6.58M,-1.98%
03-02-2017,461.7,457.85,467.9,453.2,13.67M,2.73%
05-02-2017,451.25,456.6,457.2,448.55,6.07M,-1.67%
06-02-2017,478.75,480,485.95,477.7,4.32M,0.44%
08-02-2017,440.35,449.5,449.95,438.15,4.05M,-1.47%
11-02-2017,434.9,435.7,440.4,429.9,8.26M,-0.65%
13-02-2017,505.3,512.7,512.7,503.3,4.70M,-0.83%
14-02-2017,482.05,503,506.7,466.55,14.90M,-4.60%
15-02-2017,436.45,449.05,453,434.35,38.64M,-9.46%
16-02-2017,446,442.55,447.6,435.4,11.62M,2.19%
17-02-2017,452.95,447.9,456.6,442.4,10.06M,1.56%
20-02-2017,455.45,451.5,458.45,449,5.87M,0.55%
21-02-2017,458.65,456.9,462.8,454.5,6.88M,0.70%
22-02-2017,460.05,460.25,466.7,455.8,7.32M,0.31%
23-02-2017,462.35,464,464.7,457.25,9.49M,0.50%
27-02-2017,457.8,464,464,455.1,5.51M,-0.98%
28-02-2017,456.75,460,460,454.1,5.72M,-0.23%
01-03-2017,481.1,491,492.7,479.9,5.81M,-1.22%
02-03-2017,522.6,531.9,531.9,519.5,5.30M,-1.67%
03-03-2017,459.95,463.3,466.85,458.6,7.09M,-0.38%
04-03-2017,470.4,468.25,472.3,467.6,2.95M,0.98%
05-03-2017,446.6,451.35,456,444.65,5.16M,-1.03%
07-03-2017,430.25,431.5,434.7,426.25,6.23M,-0.53%
08-03-2017,431.45,441,441.5,429.6,6.20M,-2.02%
10-03-2017,416,428,428,415,9.70M,3.61%
11-03-2017,447.7,434,449.35,432.65,8.12M,2.94%
14-03-2017,469.75,481,483,468.45,6.35M,0.14%
15-03-2017,473.45,475,476.55,470.65,4.80M,0.79%
16-03-2017,480.95,478.7,482,476.15,6.27M,1.58%
17-03-2017,476.5,481.35,484.2,471.7,6.34M,-0.93%
20-03-2017,476,476.55,478.2,470.75,2.87M,-0.10%
21-03-2017,473.75,478,478.05,470.65,4.69M,-0.47%
22-03-2017,459.9,469.95,469.95,458.5,4.70M,-2.92%
23-03-2017,472.9,461.3,477,461.3,8.67M,2.83%
24-03-2017,470.4,470.75,474.8,467.55,4.30M,-0.53%
27-03-2017,464.75,469,469.15,462.1,4.42M,-1.20%
28-03-2017,472.4,467.5,473,467.5,2.98M,1.65%
29-03-2017,469.05,474.9,475,463.6,6.68M,-0.71%
30-03-2017,468.4,463.5,469.8,462.85,9.48M,-0.14%
31-03-2017,465.85,466.5,472.5,464.5,6.40M,-0.54%
01-04-2017,486.65,484.65,493.7,484.1,4.77M,1.15%
05-04-2017,436.5,446.65,448.1,435.15,6.20M,-2.26%
07-04-2017,426.9,434.2,436.4,426,5.02M,-0.78%
08-04-2017,435.6,435.1,438.75,433.45,4.17M,0.96%
09-04-2017,383.4,393,396.05,380.5,8.43M,-1.91%
10-04-2017,423.55,417.55,426,412.7,7.66M,1.81%
